# Switch — blawar/titledb (full title IDs)
0100016007155005,Battle Encounter Bead
010001600c962000,BOMBFEST
010001600d1e8000,Cube Creator X
0100016011a1a000,Ship Simulator
01000160127ec000,Professor Rubik's Brain Fitness
0100016012d38000,BIT.TRIP CORE
010001601590e000,Marbles Rush
0100016018864000,Pathfinder: Wrath of the Righteous - Cloud Version
0100016018865001,Pathfinder: Wrath of the Righteous - Inevitable Excess
0100016018865002,Pathfinder: Wrath of the Righteous - Through the Ashes
0100016018865003,Pathfinder: Wrath of the Righteous - The Treasure of the Midnight Isles
0100016018865004,Pathfinder: Wrath of the Righteous - The Last Sarkorians
0100016018865005,Pathfinder: Wrath of the Righteous - The Lord of Nothing
0100016018865006,Pathfinder: Wrath of the Righteous - A Dance of Masks
01000160262f0000,EGGCONSOLE Carbuncle Pi MSX2
0100016027238000,Asphalt Racing Bundle 3 in 1
0100017007980000,Hotel Transylvania 3 Monsters Overboard
010001701248c000,Super Monkey Ball Banana Mania
010001701248d001,Classic Soundtrack
010001701248d002,Customization Pack
010001701248d003,Classic Character Pack
010001701248d004,SEGA Legends Pack
010001701248d005,Golden Banana Mode
010001701248d006,Bonus Cosmetic Pack
010001701248d009,Hello Kitty
010001701248d00a,Morgana
010001701248d00b,Suezo
010001701248d00c,Headwear Pack
0100017019c4a000,Rocket Knight Adventures: Re-Sparked
01000170203f8000,The Little Mermaid: Ariel and the Star Festival
0100017023526000,Lucy and the Talking Cat: The Secret Cat Kingdom
010001800dba6000,Winter Sports Games
0100018013124000,Lost Words: Beyond the Page
0100018024c42000,Winx Club: The Magic is Back
0100019006f4e000,I Am The Hero
010001900bdca000,Season Match
010001a00a1f6000,Knock-Knock
010001a015ab2000,Brain Meltdown - Into Despair
010001a01e09e000,Corgi´s Travel
010001b005e5c000,Double Dragon 4
010001b01398c000,Spirit Arena
010001b018734000,SuperDuck!
010001b019b62000,Iron Lung
010001b01aaf4000,Moons of Darsalon
010001c011354000,Aeolis Tournament
010001c016a78000,Alexio
010001c01bcac000,Cynthia: Hidden in the Moonshadow
010001c01bcad001,Cynthia: Hidden in the Moonshadow - 'Cyberthia' Costume
010001c01bcad002,Cynthia: Hidden in the Moonshadow - 'Tropical Blossom' Costume
010001c01bcad003,Cynthia: Hidden in the Moonshadow - 'Xmas' Costume
010001c01bcad004,Cynthia: HitM - Accessory Pack #1
010001c01bcad005,Cynthia: HitM - Accessory Pack #2
010001c01bcad006,Cynthia: HitM - Accessory Pack #3
010001c01d072000,Meaning of Symbols
010001d014348000,Inexistence Rebirth
010001e00a5f6000,AngerForce: Reloaded for Nintendo Switch
010001e00f75a000,Alchemist's Castle
010001e024928000,Alfie Atkins Game Collection
010001e025cce000,Wander Scoop
010001e02636a000,Fortuna Magus
010001e02636b001,Experience x3 - Fortuna Magus
010001e02636b002,No Encounters - Fortuna Magus
010001e02636b003,Damage x2 - Fortuna Magus
010001f00d9b8000,Riddled Corpses EX Demo
010001f0145a8000,Isolomus
010001f014d9a000,Dodgeball Academia
010001f01bab4000,BOKURA
010001f0213e6000,SMILE SIMULATION
010002001ddf0000,Beach Boys 2: Zodiac Date
0100020027ec8000,Lost Little Things
010002100cdcc000,Peaky Blinders: Mastermind
010002101ce5a000,Aureole - Wings of Hope
010002101fd6e000,Tactical Strike: Special Forces Shooter
010002200ceca000,Cinderella - An Interactive Fairytale
01000220158c4000,3D Air Hockey
01000220181bc000,The Grinch: Christmas Adventures
01000220181bd001,The Grinch: Christmas Adventures - Determined to Love Christmas
01000220183c0000,Moorhuhn Jump and Run 'Traps and Treasures 3'
0100022023554000,The Palace on the Hill
01000220255a2000,Highway Traffic Pro
0100022028200000,Pocket Ludo
010002300c632000,Fairy Fencer F™: Advent Dark Force
0100023012640000,Slots of Poker at Aces Casino
010002301d62a000,MechanixMind: IQ Puzzle Adventure
010002302429a000,Cottonville
010002302429b001,Halloween Outfits Pack
010002302429b002,High Couture Outfits Pack
010002302429b003,Holidays Outfits Pack
010002302429b004,Japan 90s Outfits Pack
010002302429b005,Love Outfits Pack
010002302429b006,Winter Outfits Pack
0100023024a74000,Kawaii Girls: Spicy Scientist
0100023024f00000,Blast Linkers
0100024008310000,Street Fighter 30th Anniversary Collection
010002400f408000,Code: Realize ~Future Blessings~
0100024011858000,Doubles Hard
010002401ae94000,Tiny Thor
010002502620a000,Korean Monorail Panorama Line Soisan
0100026016320000,River City Girls 2
0100026016321001,River City Girls 2: Double Dragon DLC
0100026019f80000,CRYSTORLD
010002601e2a6000,TriggerHeart EXELICA
0100026026700000,Lotzo and The Ray of Light
010002700c34c000,Numbala
0100027017d4c000,Beasties
010002800b818000,Velocity®2X
010002801de5e000,Tokyo Cooking
010002801de5f001,Oceanic Fish Set
010002801de5f002,Cherry Blossom Set
010002801de5f003,Majestic Fuji Set
010002801de5f004,Sky Heron Set
0100028025f70000,GET FIT – Women’s Fitness
010002900294a000,NBA Playgrounds
010002900b75a000,Palm Reading Premium
0100029025110000,Sky Love Girls: Flight Attendant Crush
010002a00cc42000,Clock Simulator
010002a00cd68000,Indiecalypse
010002a00d168000,Piczle Colors Demo
010002a01abf8000,Inspector Gadget: MAD Time Party
010002a020dbe000,FREEDOM WARS Remastered - Digital Art Book
010002b00c534000,American Fugitive
010002b013452000,Doodle Games Bundle
010002b018d4e000,Japanese Escape Games The Hotel of Tricks
010002c017a90000,Drunken Fist 2 : Zombie Hangover
010002c01a710000,PUTRID SHOT ULTRA
010002c01f772000,Guess the Flag!
010002c024064000,3 Card Poker
010002c0254d0000,Tune My Car - Tuning Studio & Mechanic Simulator 2026
010002d00632e000,Yoku's Island Express
010002d00edd0000,JDM Racing
010002d01b760000,I'LL KILL HER
010002e00d3fe000,Arcade Archives DONKEY KONG 3
010002e01825e000,Mysteries Under Lake Ophelia
010002e01b4bc000,Heartbeat Hospital: Love, Lies, and Betrayal
010002e01dd54000,Tennis 2024 Simulator
010002e01ebf6000,A Cat & His Boy
010002f001220000,NAMCO MUSEUM
010002f009a7a000,Road to Ballhalla
010002f00cc20000,FUN! FUN! Animal Park
010002f01a97a000,Toziuha Night: Dracula's Revenge
010002f01d87a000,Soul Link
010002f01e86a000,Make It Fly!
010003000e146000,Mario & Sonic at the Olympic Games Tokyo 2020
0100030012e82000,Laid-Back Camp - Virtual - Fumoto Campsite
010003001536e000,Christmas Tina
010003001536f001,Christmas Tina DLC
0100030021a36000,Gunso's Skateboard Run
010003100f1f4000,CrunchTime
0100031013cb2000,Endless Memories
0100031018cfe000,Touhou Gouyoku Ibun ～ Sunken Fossil World.
010003101e676000,Lesson Learned
01000310223ca000,Sniper Scope: Realistic Tactical Shooter
01000320000cc000,1-2-Switch™
01000320060ac000,OTTTD: Over The Top Tower Defense
01000320110c2000,She Sees Red - Interactive Movie
0100032016af6000,Detective Di: The Silk Rose Murders
01000320190e8000,Pid
01000320190e9001,Artbook
010003201a0b4000,Kingdom Eighties
010003201c12a000,HexaWars
01000330105be000,Darius Cozmic Collection Console
010003301911c000,Shotgun King: The Final Checkmate
010003301dd0c000,Vampire: The Masquerade - Reckoning of New York
010003301e4dc000,Morsels
0100033027d90000,28 Days Train Wreck Survivor
0100034012606000,Family Mysteries: Poisonous Promises
010003401564e000,Car Driving Simulator
0100034019a9a000,Flame Keeper
0100034019a9b001,Flame Keeper - Artbook
010003402139e000,Kiting Cat
0100034027c06000,Dog Chaos
0100035013a26000,Finding Paradise
0100035019c74000,The Companion
010003501b8f4000,World War: Combat Guardian
0100035024b20000,Double Dragon Revive Digital Artworks
0100035024ee0000,The Artifactory
0100035025d08000,Hentai Desire: Sexy Waifus
010003502862c000,Wantama☆Life
01000360107bc000,911 Operator Deluxe Edition
010003601b1c0000,The Excrawlers
010003601fea6000,Moe Waifu H Genius
010003701002c000,Nurse Love Syndrome
0100037025ad6000,Hole Digging Beach Simulator
0100038013a98000,G-MODE Archives25 Topolon
0100038019968000,SUBWAY MIDNIGHT
0100039002ccc000,Johnny Turbo's Arcade: Super Real Darwin
010003900e46a000,Super Dodgeball Beats
0100039014408000,Millie and Molly
010003901827a000,Isekai Bride Hunting
0100039023968000,There's no Dragons
010003a00d0b4000,SaGa SCARLET GRACE: AMBITIONS™
010003a00ea90000,IN-VERT
010003a014d3a000,Paradox Error
010003a0213b2000,Creative Writing: Unlock Your Inner Author
010003b00d3a2000,Felix The Reaper
010003b027152000,Whisper of the House
010003b0287cc000,Dragon of Illusion
010003c0099ee000,PLANET ALPHA
010003c00b868000,Ninjin: Clash of Carrots
010003c01491a000,Mountain Bike Hill Climb Race: Real 2D Arcade Dirt Racing Games
010003c0161ce000,Booble Hentai
010003c01e480000,Hopping Bunny
010003c01f5f4000,Candivity
010003c01f5f5001,Candivity: Outer Space DLC
010003c01f5f5002,Candivity: Deep Mines DLC
010003c01f5f5003,Candivity: North Pole DLC
010003c01f5f5004,Candivity: Under Water DLC
010003c0222fe000,Animal Strikers
010003d00867a000,Plantera Deluxe Demo
010003d018708000,Sherlock Holmes and The Hound of The Baskervilles
010003d01ea90000,Ninja Flip
010003d026f76000,Good Girls: Angels With Dirty Intentions
010003e0186a0000,Animal Puzzle for Toddlers and Kids - Preschool and kindergarten learning and fun game
010003f003a34000,Pokémon™: Let’s Go, Pikachu!
010003f00bd48000,Friday the 13th: Killer Puzzle
010003f00c5c0000,Rawr-Off
010003f00cc98000,Sky Gamblers - Afterburner
010003f01b0be000,Ghost Files: The Face of Guilt
010003f025fe4000,Lalulu Island Survival
010003f0269bc000,Rocket Time Trials: Galactic Highway
0100040016ee2000,BPM: Bullets Per Minute
0100040017c72000,Simple Mini Golf
010004100fbb0000,Chapeau
0100041013360000,Control Ultimate Edition - Cloud Version
0100041018810000,WRC Generations – The Official Game
0100041018811001,WRC Generations - Peugeot 206 WRC 2002
0100041018811002,WRC Generations - Citroën C4 WRC 2010
0100041018811003,WRC Generations - Career Starter Pack
0100041018811004,WRC Generations - Porsche 911 GT3 RS RGT Extra liveries
0100041018811005,WRC Generations - Livery editor extra items
01000410251a8000,REDEX
0100042016884000,Panmorphia: Enchanted
010004201a794000,The Murder Hotel
010004201d1e6000,Stories from Sol: The Gun-Dog
010004201e964000,The Battle Cats Unite!
010004300c33a000,Crimson Keep
0100043011cec000,Arcade Archives LIGHTNING FIGHTERS
010004301f38e000,Rage of the Dragons NEO
0100043020780000,Spot The Difference Food & Drink
0100043021472000,Esophaguys
010004400b22a000,Knights of Pen & Paper 2 Deluxiest Edition
010004400b28a000,Cattails
01000440123a6000,Roah
0100044018e82000,SQUID COMMANDO
010004401bfde000,Anomaly Agent
0100044020328000,Theme Park Jam
010004500de50000,Paper Dolls Original
0100045010a28000,Arcade Archives FORMATION Z
0100045010eb6000,Shadows
010004501a724000,Big Adventure: Trip To Europe 3 Collector's Edition
010004502071e000,Dunk Dunk
01000450276c2000,All Motors Racing Simulator
0100046011ae6000,Ghost Files: Memory of a Crime
01000460144b4000,Monster Truck XT Airport Derby
0100046017f14000,Forklift Extreme
0100046017f15001,Forklift Extreme: Operator Pack
0100046017f15002,Forklift Extreme: Military Storage
0100046017f15003,Forklift Extreme: Impound Lot
0100046017f15004,Forklift Extreme: Vertigo Farm
0100046017f15005,Forklift Extreme: Furniture Direct
0100046017f15006,Forklift Extreme: Santa's Workshop
0100046017f15007,Forklift Extreme: Docks
0100046017f15008,Forklift Extreme: Construction Site
0100046017f15009,Forklift Extreme: Scrapyard
0100046017f1500a,Forklift Extreme: Eco Depot
010004602057a000,GhostlyRyokan
0100046020afc000,Next of Kin: Fidelity
010004602766c000,Bear No Grudge
0100047009742000,Twin Robots: Ultimate Edition
010004701504a000,Calculator
010004701faa6000,I Love Finding Cats and Pups Collector's Edition
010004801a450000,NCL: USA Bowl
0100048021500000,To the Moon: Sigmund Minisode 2 (Holiday Special)
0100048021806000,Urban Car Driver Simulator: City Explorer Challenge
01000490067ae000,Frederic 2: Evil Strikes Back
010004900bf6e000,Farm Tycoon
010004900d772000,Modern Tales: Age of Invention
010004900d976000,Contraptions
010004901194a000,Trail Boss BMX
01000490163b8000,Bulanci
010004a0143c4000,BARRICADEZ ReVisited
010004a019096000,Fightro
010004a019b52000,Construction Site Driver 2
010004a01bbe2000,The Trotties Adventure
010004b0130c8000,Turrican Flashback
010004b017d10000,Cthulhu pub
010004b01b148000,Nightshade Ninja Warrior
010004b01c02c000,Dinosaurs: Types and Names
010004b01c3e8000,Isekai Rondo - Nintendo Switch 2 Edition
010004b01c3e9001,Experience x3 - Isekai Rondo
010004b01c3e9002,Damage x2 - Isekai Rondo
010004b01c3e9003,No Skill Cost - Isekai Rondo
010004b01debc000,4 in a row
010004b025c98000,Dino Dawn Doom
010004b027280000,Mr. Stackman
010004b027584000,MAID CARD GACHA : COLLECT, DISPLAY, COMPLETE
010004c015efc000,Retro Highway
010004c01a37c000,Over Horizon X Steel Empire
010004c01a7f4000,Scrap Games
010004c01f8a2000,Toilet Hero
010004c0234ea000,Fantasy RPG: Raid Legends
010004d00a9c0000,Aggelos
010004d00d222000,Pocket Academy Demo
010004d00d32a000,Zombieland: Double Tap - Road Trip
010004d017f72000,Tamarak Trail
010004d01b17a000,Lost Dream Darkness
010004d024d7c000,Color Breakers 2
010004e01523c000,Loop Hero
010004e025fde000,STREAMER SIMULATOR 2026
010004e028112000,Anime Codex: Final Pose
010004f00da3e000,Skye Tales
010004f018ed6000,My Universe - My Baby Dragon
010004f021380000,Chernobylite Premium Edition
010004f028966000,Cash Movers
010005001819a000,Prison Life Simulator 2022 - World FIGHT Battle ULTIMATE
010005001a8ca000,TRANSFORMERS: EARTHSPARK - Expedition
010005001b4de000,Undergrave
01000500246e6000,SUPERMARKET SIMULATOR 25
010005100af90000,FutureGrind
0100051016a76000,Hillbilly Doomsday
010005101714e000,Casual Challenge Players' Club
01000510192d0000,Witch's Pranks - Frog's Fortune
0100051021a20000,The Little Gnomes: The Secret of the Magical Forest
010005102764e000,2048 Boys
01000510287ae000,Clay&Cats
0100052004384000,Axiom Verge
0100052012b02000,Wolfstride
0100052018dda000,Pixel Art Coloring Book
010005201fb06000,EvoMon
010005201fb07001,Themes
010005300edcc000,Quench
010005301a348000,Carbage
010005302101e000,Pick My Heart Chapter 1
01000530268e2000,Lines 98 Classic
010005400a45e000,Agent A: A puzzle in disguise
010005400e394000,Dead in Vinland - True Viking edition
010005400ec0c000,Lost Artifacts: Time Machine
01000540139f6000,Speed Limit
0100054021f78000,Oil Refinery - The Simulation
0100055007b86000,Late Shift
010005500addc000,Swap This!
010005500dfc2000,Sail Forth – Nintendo Switch 2 Edition
010005500dfc3001,Sail Forth: Maelstrom
010005500e81e000,Space Cows
0100055015a82000,Lucid Cycle
010005501e68c000,Ace Attorney Investigations Collection
010005501e68d001,Ace Attorney Investigations Collection In-Game Music (Arranged) - Five Tracks Set
0100056020748000,Simply Cubic
0100056023a46000,Magicbook AutoBattler
0100057011e50000,Zengeon
010005701cf4c000,Missile Dancer 2
010005800f1ba000,Planetary Defense Force
01000580117ea000,Seeds of Resilience
01000580191c2000,Japanese Escape Games The Mansion of Tricks
010005802470a000,EGGCONSOLE Xak Precious Package: The Tower of Gazzel PC-8801mkIISR
0100058026c1e000,BOMBARDINO CROCODILO vs TUNG TUNG SAHUR
0100059012bae000,Crown Trick
0100059015a96000,7Days Origins
01000590199aa000,Charade Maniacs
010005a00a4f4000,Air Hockey
010005a00b312000,Megaton Rainfall
010005a0143cc000,Counter Recon: The First Mission
010005a01e1d2000,Get in the Car, Loser!
010005b01ce3e000,Ikkarus and the Prince of Sin
010005b02556e000,POOLS
010005c00ee90000,Atelier Shallie: Alchemists of the Dusk Sea DX
010005c01b81c000,Legendary Tales: Cataclysm
010005c01d05a000,Downhill Driver: Extreme Racing Simulator
010005c025548000,Pin Strike
010005d00fc06000,puzzlement
010005d019272000,Shinorubi
010005d01b840000,Moving Blocks Puzzles
010005d01ffc4000,LAPIN
010005e00e2bc000,9 Monkeys of Shaolin
010005e017a8e000,The Future You've Been Dreaming Of
010005e01e5e6000,Hero's Hour
010005f016964000,Circa Infinity Ultimate Edition
010005f01ae22000,Magic World: Unravel the Magic
010005f01b5d0000,The Escape Room Chronicles ep1:The Mysterious KumaDonald's
010005f01d96c000,Bus Driving Simulator 24 - City Roads
010005f01d96d001,Bus Driving Simulator 24 - City Roads DLC Articulated Bus
010005f01d96d002,Bus Driving Simulator 24 - City Roads DLC School Bus
010005f01d96d003,Bus Driving Simulator 24 - City Roads DLC Electric Bus
010005f01d96d004,Bus Driving Simulator 24 - City Roads DLC London Double Decker Bus
010005f027680000,Arcade Archives SPACE CYCLONE
010006001107e000,Bleed Complete Bundle
0100060013786000,MazM: The Phantom of the Opera
01000600202b2000,Flick Erasers Battle Royale
0100060021f04000,Evel Knievel
01000610199c0000,Super Puzzle Pack 2
010006101de02000,Love Live! Nijigasaki High School Idol Club TOKIMEKI Roadmap to Future
010006101e1e6000,Freddi Fish Collection
0100061020286000,DORONKO WANKO
0100061020cf8000,Hidden Cats in Santa's Realm
0100061022a72000,CRYKEN part2
0100061024e9e000,Crash The Car Death Race
010006102518e000,Candy Rangers
010006200949e000,The Charming Empire
0100062025cf0000,Truck Simulator: Delivery in City
0100063005c86000,Phantom Breaker: Battle Grounds Overdrive
010006300afce000,ACA NEOGEO RAGNAGARD
010006300affe000,Life Goes On
0100063018ece000,Prof. Miyamoto's Soroban & Flash Anzan
0100063021abc000,THE POOLS
0100063022d44000,Fantasy of War
0100063025690000,Hula Hula Wee
01000640174da000,An Airport for Aliens Currently Run by Dogs
010006401d48a000,Zomborg
01000650134fe000,Splashy Cube
0100065013f20000,Lawnmower Game: Racing
010006501a8d8000,NBA 2K24 Kobe Bryant Edition
010006502646a000,Fast Food Van Simulator
0100066004d68000,This Is the Police
010006600ae9c000,Red's Kingdom
01000660138b2000,Putt-Putt Travels Through Time
010006601fd4c000,EGGCONSOLE XANADU SCENARIO II PC-8801mkIISR
01000670156b4000,Boulder Dash® Deluxe
010006701eb9e000,Dead Station 2
010006701ecea000,Knight's Redemption: War for freedom
01000670235cc000,AirJet Fighter : Sky Assault
010006800e13a000,Chronos: Before the Ashes
0100068010226000,Dreamwalker: Never Fall Asleep
0100068011db0000,Pop the Bubbles
0100068018ecc000,Remorse: The List
0100068019e16000,Arcade Archives GROBDA
010006801cf76000,Danger Stunt Drive: Extreme Racing Simulator
010006801ebc0000,Cilla
01000680222b6000,Bridge Constructor Studio
010006802752e000,Good Girls: Sweet Faces
01000690085be000,Little Triangle
010006900ef5e000,Pacific Wings
0100069010592000,Red Death
010006901ef92000,Ultra Mission™
010006902387a000,Korean Drone Flying Tour Namyangju-si
01000690268ea000,We. The Refugees: Ticket to Europe
010006a0042f0000,88 Heroes - 98 Heroes Edition
010006a01441c000,Trigger Witch
010006a0158a8000,Orbibot
010006a01a15a000,Archetype Arcadia
010006a01e484000,Winter Games Collection
010006a01f1c6000,Ghost Teen Escape from Limbo
010006a026fe2000,Leafy Corner
010006a027c3a000,Connect Lines
010006b013ca6000,Pigeon Fight
010006b018f48000,MythForce
010006b01bd9c000,Car Detailing Simulator
010006b01d234000,Only Way Up! Parkour Jump Simulator
010006b01d235001,Only Way Up! Parkour Jump Simulator: Character Customization DLC
010006b01d235002,Only Way Up! Parkour Jump Simulator: Into the Horizon
010006b026ba4000,Optical Illusion Test
010006c00cc10000,Shanky: The Vegan`s Nightmare
010006c015c4a000,X-Force Genesis
010006c017006000,Frightence
010006c017174000,Super Rebellion
010006c0204fa000,Ultimate Holidays
010006c0204fb001,Postcard Stickers Pack 1
010006c0204fb002,Postcard Stickers Pack 2
010006c0204fb003,Postcard Stickers Pack 3
010006c0213ea000,Thinking of You Beyond Time
010006c024060000,Noah's Dilemma
010006c025542000,Chernobyl: Escape from Pripyat
010006c0279b0000,Shadows of the Afterland
010006d0128b4000,NEOGEO POCKET COLOR SELECTION Vol.1
010006d025c66000,Hentai Vision
010006e00dfae000,Pantsu Hunter: Back to the 90s
010006e01c3cc000,Break the Glass Cup: Breaking Physics Puzzle
010006e020418000,Make it! Crepe
010006e020954000,Linea: An Innerlight Game
010006f00ee72000,StarBlox Inc.
010006f011220000,Megadimension Neptunia VII
010006f011221001,Histy's Trial Item Set
010006f011221002,Histy's Beginner Item Set
010006f011221003,1st Level Cap Set
010006f011221004,2nd Level Cap Set
010006f011221005,3rd Level Cap Set
010006f011221006,Gamindustri Ultimate Armor Pack
010006f011221007,Weapon Pack
010006f011221008,Trial Weapon Pack
010006f011221009,Ultimate Weapon Pack
010006f01122100a,Processor Pack
010006f01122100b,Equipment Pack
010006f01122100c,Swimsuit Pack
010006f01122100d,Nightwear Pack
010006f01122100e,Party Character [Umio] & [Nepgya]
010006f01122100f,Party Character [Nitroplus]
010006f011221010,[Nitroplus] Costume Pack
010006f011221011,Party Character [God Eater]
010006f011221012,[God Eater] Costume Pack
010006f011221015,Trillion: God of Destruction Costume Set
010006f01aa34000,Kuroi Tsubasa
010006f01b908000,Hentai Girls
010006f01b909001,Cleaning Yui
010006f01b909002,Waiting Shirayuki
010006f01b909003,Playful Etsuko
010006f01b909004,Kitty Shirayuki
010006f01b909005,Puppy Yui
010006f01b909006,Foxy Etsuko
010006f02338a000,CTHULOOT
0100070019ea6000,Roller Katz: BF - Episode 1
010007001a09c000,Party Party Time
010007001a09d001,Party Harder Pack
010007001a09d002,Party Fever Pack
010007001a09d003,Party Even Harder Pack
010007001a09d004,Character Skin Pack
