# 3DS — full title IDs (hax0kartik/3dsdb)
0004000000030000,New Hikari mythical Parthena mirror(新･光神話 パルテナの鏡)
0004000000030100,Kid Icarus™: Uprising
0004000000030200,Kid Icarus™: Uprising
0004000000030300,Steel diver(スティールダイバー)
0004000000030400,Star Fox 64 3D(スターフォックス64 3D)
0004000000030500,Super Street Fighter IV 3D Edition(スーパーストリートファイターIV 3D EDITION)
0004000000030600,Mario Kart 7(マリオカート7)
0004000000030700,Mario Kart™ 7
0004000000030800,Mario Kart™ 7
0004000000030b00,Nintendogs + CATS Shiba & NEW Friends(nintendogs + cats 柴 & Newフレンズ)
0004000000030c00,Golden Retriever & New Friends
0004000000030d00,nintendogs™ + cats: Golden Retriever
0004000000031000,Nintendogs + CATS French Bull & NEW Friends(nintendogs + cats フレンチ･ブル & Newフレンズ)
0004000000031100,French Bulldog & New Friends
0004000000031200,nintendogs™ + cats: French Bulldog
0004000000031500,Nintendogs + Cats Toy Poodle & NEW Friends(nintendogs + cats トイ･プードル & Newフレンズ)
0004000000031600,Toy Poodle & New Friends
0004000000031700,nintendogs™ + cats: Toy Poodle
0004000000031b00,Pilot Wings Resort(パイロットウイングス リゾート)
0004000000031c00,Pilotwings Resort™
0004000000031d00,Pilotwings Resort™
0004000000031e00,Sengoku Musou Chronicle(戦国無双 Chronicle)
0004000000031f00,Professor Layton and a miracle mask(レイトン教授と奇跡の仮面)
0004000000032000,DEAD OR ALIVE Dimensions(DEAD OR ALIVE Dimensions)
0004000000032100,NEW Love Plus(NEWラブプラス)
0004000000032300,Steel Diver
0004000000032400,Steel Diver™
0004000000032500,Mario & Sonic at London Olympics ™(マリオ&ソニック AT ロンドンオリンピック™)
0004000000032800,Ridge racer 3D(リッジレーサー3D)
0004000000032900,Winning Eleven 3DSOCCER(ウイニングイレブン 3DSoccer)
0004000000032a00,It is jumped out! Puzzle Bobble 3D(とびだす!パズルボブル 3D)
0004000000032b00,Combat of Giant Dinaseau 3D(コンバット オブ ジャイアント ダイナソー3D)
0004000000032d00,SUPER STREET FIGHTER® IV 3D EDITION
0004000000032e00,Supermon Keyball 3D(スーパーモンキーボール3D)
0004000000033300,ASPHALT 3D: Nitro Racing asphalt 3D Nitrol Racing(ASPHALT 3D：NITRO RACING アスファルト 3D ニトロレーシング)
0004000000033400,Ocarina 3D at the Legend of Zelda(ゼルダの伝説 時のオカリナ 3D)
0004000000033500,The Legend of Zelda™: Ocarina of Time™ 3D
0004000000033600,The Legend of Zelda™: Ocarina of Time 3D
0004000000033700,DECA SPORTA 3D Sports(DECA SPORTA 3D SPORTS （デカスポルタ 3Dスポーツ）)
0004000000033800,PUZZLE BOBBLE UNIVERSE™
0004000000033a00,Tom Clancy’s™ Splinter Cell® 3D
0004000000033b00,RIDGE RACER™ 3D
0004000000033c00,Super Street Fighter IV 3D
0004000000033d00,The Sims™ 3
0004000000033e00,Madden NFL Football
0004000000034000,Single and 3 puzzles -Nikori puzzle variety-(数独と3つのパズル ～ニコリのパズルバラエティ～)
0004000000034100,Shanghai 3D cube(上海3Dキューブ)
0004000000034200,Virs Shooter XX(ウイルスシューターXX)
0004000000034300,Cubic Ninja(Cubic Ninja)
0004000000034400,TOM Clancy's Sprinter Cell 3D(Tom Clancy's スプリンターセル 3D)
0004000000034500,Rabitz Time Travel(ラビッツ タイム・トラベル)
0004000000034600,Ghost Recon Shadow War(ゴーストリコン シャドーウォー)
0004000000034800,Doctor Rotalk and Oblivion Knights(ドクターロートレックと 忘却の騎士団)
0004000000034900,Professional Baseball Spirits 2011(プロ野球スピリッツ2011)
0004000000034a00,BLAZBLUE CONTINUUM SHIFT Ⅱ(BLAZBLUE CONTINUUM SHIFT Ⅱ)
0004000000034c00,Asphalt™ 3D
0004000000034d00,SAMURAI WARRIORS®: Chronicles
0004000000034f00,DEAD OR ALIVE Dimensions
0004000000035100,Combat of Giants™ Dinosaurs 3D
0004000000035300,Green Lantern™: Rise of the Manhunters
0004000000035400,LEGO® Star Wars® III: The Clone Wars™
0004000000035500,Madden NFL Football
0004000000035700,Rabbids® Travel in Time 3D
0004000000035800,RIDGE RACER® 3D
0004000000035900,Resident Evil®: The Mercenaries 3D
0004000000035a00,Tom Clancy’s Ghost Recon® Shadow Wars
0004000000035b00,NARUTO-Naruto-Gale Den Ninja Body Picture Wind! The Strongest Ninja Decisive Battle !!(NARUTO-ナルト- 疾風伝 忍立体絵巻! 最強忍界決戦!!)
0004000000035c00,Balloon Pop® 2
0004000000035e00,BUST-A-MOVE UNIVERSE
0004000000036000,DRIVER® RENEGADE
0004000000036100,James Noir's Hollywood Crimes™
0004000000036200,Pet Zombies
0004000000036300,PAC-MAN® & Galaga® Dimensions
0004000000036400,RAYMAN® 3D
